PositionX [?m],PositionY [?m],Time [s]
12.4575,14.098333,08:05.8
12.420833,14.1075,08:06.8
12.437719,14.087719,08:07.8
12.431746,14.125397,08:08.8
12.483333,14.1,08:09.8
12.475397,14.081746,08:10.8
12.440476,14.116667,08:11.9
12.4575,14.098333,08:12.8
12.466667,14.116667,08:13.8
12.45,14.133333,08:14.8
12.4575,14.098333,08:15.8
12.547333,14.102,08:16.8
12.588889,14.139583,08:17.8
12.538406,14.132609,08:18.8
12.483333,14.15,08:19.8
12.538406,14.108696,08:20.8
12.578261,14.156522,08:21.8
12.549167,14.0525,08:22.8
12.6,14.208333,08:23.8
12.569333,14.131333,08:24.8
12.547333,14.102,08:25.8
12.610145,14.14058,08:26.8
12.562319,14.132609,08:27.8
12.521667,14.180833,08:28.8
12.535417,14.116667,08:29.8
12.492857,14.116667,08:30.8
12.558333,14.086111,08:31.8
12.498276,14.135632,08:32.8
12.530128,14.144872,08:33.8
12.396825,14.195238,08:34.8
12.466667,14.208333,08:35.8
12.375,14.208333,08:36.8
12.425926,14.108333,08:37.8
12.425,14.091667,08:38.8
12.521667,14.180833,08:39.8
12.525,14.241667,08:40.8
12.466667,14.108333,08:41.9
12.536508,14.221429,08:42.8
12.466667,14.116667,08:43.8
12.466667,14.208333,08:44.8
12.5125,14.200694,08:45.8
12.492857,14.203968,08:46.8
12.558333,14.183333,08:47.8
12.508974,14.123718,08:48.8
12.474,14.146,08:49.8
12.541667,14.15,08:50.8
12.422667,14.124,08:51.8
12.466667,14.177778,08:52.8
12.457937,14.151587,08:53.8
12.382639,14.139583,08:54.8
12.375,14.208333,08:55.8
12.353175,14.221429,08:56.9
12.283333,14.116667,08:57.8
12.353175,14.195238,08:58.8
12.338333,14.180833,08:59.8
12.265873,14.195238,09:00.8
12.312281,14.203509,09:01.8
12.420833,14.199167,09:02.8
12.389474,14.222807,09:03.8
12.384167,14.180833,09:04.8
12.375,14.208333,09:05.8
12.375,14.208333,09:06.8
12.399123,14.213158,09:07.8
12.375,14.208333,09:08.8
12.375,14.208333,09:09.8
12.375,14.116667,09:10.8
12.347101,14.236232,09:11.8
12.379365,14.256349,09:12.8
12.375,14.133333,09:13.8
12.365517,14.173563,09:14.8
12.329167,14.125833,09:15.8
12.449206,14.046825,09:16.8
12.358333,14.15,09:17.8
12.459615,14.102564,09:18.8
12.390278,14.109028,09:19.8
12.371014,14.076812,09:20.8
12.352083,14.09375,09:21.8
12.305333,14.087333,09:22.8
12.283333,14.101389,09:23.8
12.283333,14.116667,09:24.8
12.213492,14.099206,09:25.8
12.235802,14.157407,09:26.8
12.2925,14.135,09:27.8
12.283333,14.131944,09:28.9
12.283333,14.135,09:29.8
12.261333,14.116667,09:30.8
12.375,14.058333,09:31.8
12.276,14.087333,09:32.8
12.283333,14.172464,09:33.9
12.318254,14.195238,09:34.8
12.375,14.208333,09:35.8
12.305333,14.197333,09:36.8
12.426812,14.188406,09:37.8
12.438462,14.08141,09:38.8
12.412346,14.082716,09:39.8
12.493827,14.055556,09:40.8
12.47931,14.034483,09:41.8
12.501923,14.025,09:42.8
12.569333,14.036,09:43.8
12.535417,14.063194,09:44.8
12.505952,14.011905,09:45.8
12.413194,14.047917,09:46.8
12.475,14.091667,09:47.8
12.554348,14.005072,09:48.8
12.498551,14.044928,09:49.8
12.492857,14.018452,09:50.8
12.459615,14.060256,09:51.8
12.545238,13.942063,09:52.8
12.466667,13.933333,09:53.8
12.501587,13.976984,09:54.8
12.493827,14.055556,09:55.8
12.558333,14.025,09:56.8
12.547333,13.896667,09:57.8
12.562319,13.981159,09:58.8
12.5125,13.985714,09:59.8
12.576667,13.896667,10:00.8
12.466667,13.959524,10:01.8
12.554667,14.014,10:02.8
12.548851,13.99023,10:03.8
12.487037,13.872222,10:04.8
12.48631,13.933333,10:05.8
12.579487,13.954487,10:06.8
12.543056,13.910417,10:07.8
12.547333,13.992,10:08.8
12.522464,13.901449,10:09.8
12.459028,13.971528,10:10.8
12.451389,13.925694,10:11.8
12.536508,13.889683,10:12.8
12.489583,13.933333,10:13.8
12.480247,13.940123,10:14.8
12.522464,13.901449,10:15.8
12.538406,13.925362,10:16.8
12.692308,13.876923,10:17.8
12.591667,13.925,10:18.8
12.482609,13.957246,10:19.8
12.4575,13.924167,10:20.8
12.508333,13.958333,10:21.8
12.390278,14.025,10:22.8
12.475,13.941667,10:23.8
12.364,13.992,10:24.8
12.356667,13.8875,10:25.8
12.44375,13.795833,10:26.8
12.425,13.758333,10:27.8
12.444667,13.779333,10:28.8
12.364,13.830667,10:29.8
12.426812,13.757971,10:30.8
12.4025,13.75,10:31.8
12.375,13.814167,10:32.8
12.492857,13.697619,10:33.8
12.371014,13.821739,10:34.8
12.378986,13.797826,10:35.8
12.370635,13.863492,10:36.8
12.364,13.830667,10:37.8
12.35,13.766667,10:38.8
12.355072,13.837681,10:39.8
12.3,13.841667,10:40.8
12.397917,13.864583,10:41.8
12.359722,13.856944,10:42.8
12.359722,13.879861,10:43.8
12.342,13.830667,10:44.8
12.347101,13.869565,10:45.8
12.402899,13.853623,10:46.8
12.4,13.8,10:47.8
